Company,Website,Role,Location,Work Model,Status,Date Added,Date Applied,Salary Range,Contact,Job URL,Notes
The Ticket Fairy,,,Remote/US/Europe,Remote,Researched,2026-02-15,,,,,Events marketing + analytics. Growth eng aligned. Fit: 4/5
Luma,https://lu.ma,,San Francisco + remote,Remote,Researched,2026-02-15,,,,,Event hosting platform. Fit: 3/5
Weezevent,,"Paris, France",,Unknown,Researched,2026-02-15,,,,,"Ticketing + payments for events. Acquired Eventix. Fit: 3/5. Rep: B — Glassdoor 3.8, no layoffs, stable company"
TravelPerk,https://www.travelperk.com/careers,,"Barcelona, Spain",,Researched,2026-02-15,,,,,"Business travel. Unicorn $2.7B. Fit: 4/5. Rep: B — Glassdoor 4.2, 86% recommend, culture rated 4.5"
Omio,https://www.omio.com/careers,,"Berlin, Germany",,Researched,2026-02-15,,,,,"Multi-modal travel search. Fit: 4/5. Rep: D — Glassdoor 3.1, CEO lied about layoffs while cutting 20% of engineers"
GetYourGuide,https://careers.getyourguide.com,,Berlin / Zurich,,Researched,2026-02-15,,,,,"Travel experiences marketplace. Unicorn. Fit: 4/5. Rep: C — Glassdoor 3.5, hire-and-fire during probation, pressure culture"
Kiwi.com,https://www.kiwi.com/careers,,"Brno, Czech Republic",,Researched,2026-02-15,,,,,"Flight search. Same country! Fit: 5/5. Rep: C — Glassdoor 3.7, two layoff rounds (216+250), low pay, legal disputes"
Mews,https://www.mews.com/careers,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,"Hospitality cloud. Prague unicorn! Fit: 5/5. Rep: B — Glassdoor 4.0, $2.5B unicorn, no layoffs, strong growth"
Holidu,,"Munich, Germany",,Unknown,Researched,2026-02-15,,,,,"Vacation rental search. Fit: 3/5. Rep: A — Glassdoor 4.4, 89% recommend, no layoffs, great culture"
ScorePlay,https://www.scoreplay.io,,"Lisbon, Portugal",,Researched,2026-02-15,,,,,"AI sports media. Series A €12.5M. Fit: 4/5. Rep: ? — No data, too small (~10 employees), profitable with $13M Series A"
Sorare,https://sorare.com/careers,,"Paris, France",,Researched,2026-02-15,,,,,"Fantasy sports. Unicorn $4.3B. Fit: 4/5. Rep: D — 13% then 35% layoffs, revenue declining, NFT collapse"
Photoroom,https://www.photoroom.com/company,,"Paris, France",,Researched,2026-02-15,,,,,"AI photo editing. $500M valuation. Fit: 5/5. Rep: A — Glassdoor 4.9, 100% recommend, culture 5.0, no layoffs"
Framer,https://www.framer.com/careers,,"Amsterdam, Netherlands",,Researched,2026-02-15,,,,,"Website builder. Doug has worked with them! React/TS. Fit: 5/5. Rep: B — Glassdoor 3.9, good brand, but comp declining, lowball offers"
Pitch,https://pitch.com/about,,"Berlin, Germany",,Researched,2026-02-15,,,,,"Collaborative presentations. $100M+ raised. Fit: 4/5. Rep: C — Fired two-thirds of staff Jan 2024, CEO stepped down, skeleton crew"
Neko Health,,"Stockholm, Sweden",,Unknown,Researched,2026-02-15,,,,,"Health scanning. Founded by Spotify's Daniel Ek. $1.8B. Fit: 4/5. Rep: B — Glassdoor 4.4, 83% recommend, no layoffs, Spotify co-founder"
Productboard,https://www.productboard.com/careers,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,"Product management. Prague unicorn. React/TS. Fit: 4/5. Rep: D — Glassdoor 3.5, massive layoffs since 2022, eroded trust"
Rossum,https://rossum.ai/careers,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,"AI document processing. Prague-based. Fit: 3/5. Rep: C — Glassdoor 3.2, 52% recommend, toxic culture cited"
Bohemia Interactive,https://careers.bohemia.net,,"Prague, Czech Republic",Hybrid,Researched,2026-02-15,,,,,"Game studio (Arma/DayZ). Prague! Modding culture. Fit: 5/5. Rep: C — Glassdoor 3.0, comp 2.7/5, high turnover of experienced staff"
Warhorse Studios,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,,"RPG studio (Kingdom Come). Prague. Fit: 4/5. Rep: C — Glassdoor 3.0, 49% recommend, low pay, Vavra controversies"
Amanita Design,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,,Indie studio (Machinarium). Prague. Fit: 3/5
SCS Software,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,,"Simulation games (Euro Truck Sim). Prague. Fit: 3/5. Rep: C+ — Glassdoor 3.7, great work-life balance, but low salary"
Ableton,https://www.ableton.com/en/jobs,,"Berlin, Germany",Hybrid,Researched,2026-02-15,,,,,"Music production (Ableton Live). Berlin. Fit: 4/5. Rep: D — Glassdoor 3.2, laid off 20% in 2024, morale collapse"
Arturia,https://jobs.arturia.com,,"Grenoble, France",Hybrid,Researched,2026-02-15,,,,,"Synths/VST/hardware. 180+ employees. Music+VST interest. Fit: 5/5. Rep: B — Glassdoor 3.8, no layoffs, good culture, but low comp (2.6/5)"
Audiomovers,,"London, UK",,Researched,2026-02-15,,,,,,"Audio collab (Abbey Road). Hiring FS web devs. Fit: 4/5. Rep: ? — No data, 11 employees, acquired by Abbey Road/Universal"
Deezer,https://www.deezerjobs.com,,"Paris, France",Hybrid,Researched,2026-02-15,,,,,"Music streaming. 600+ employees. Paris/Berlin. Fit: 4/5. Rep: B — Glassdoor 4.0, $586M revenue, first positive cash flow 2024"
SoundCloud,https://careers.soundcloud.com,,"Berlin, Germany",Hybrid,Researched,2026-02-15,,,,,"Music streaming for artists. Berlin. Fit: 4/5. Rep: C — Glassdoor 3.8, 20% layoff 2022, 8% in 2023, chronic instability"
Believe,,"Paris, France",,Researched,2026-02-15,,,,,,"Music distribution. Public company. 2000+ employees. Fit: 3/5. Rep: C — Glassdoor 3.4, reduced teams 2024, going-private deal uncertainty"
Synthesia,https://www.synthesia.io/careers,,"London, UK",,Researched,2026-02-15,,,,,"AI video generation. Unicorn $2.1B. Fit: 4/5. Rep: A — Glassdoor 4.4, competitive pay, no layoffs, high-trust culture"
Black Forest Labs,https://bfl.ai/careers,,"Freiburg, Germany",,Researched,2026-02-15,,,,,"AI image gen (FLUX). $300M+ raised. Fit: 4/5. Rep: ? — No data, ~55 employees, $300M raised at $3.25B valuation"
Recraft,,"London, UK",,Researched,2026-02-15,,,,,,AI design tool. SVG-native. $12M Series A. Fit: 4/5
Bending Spoons,https://bendingspoons.com/careers,,"Milan, Italy",,Researched,2026-02-15,,,,,"Consumer app company. Milan. Fit: 3/5. Rep: F — Notorious acquire-and-fire: gutted Evernote, WeTransfer, Vimeo, Hopin"
Luzia,,"Madrid, Spain",,Researched,2026-02-15,,,,,,AI assistant in WhatsApp. $19M Series A. Fit: 3/5
ESL FACEIT Group,https://eslfaceitgroup.com/career,,London + Europe,,Researched,2026-02-15,,,,,Esports platform. 500+ employees. Fit: 3/5
Challengermode,,"Stockholm, Sweden",,Researched,2026-02-15,,,,,,Esports tournament platform. Stockholm. Fit: 3/5
Larian Studios,https://larian.com/careers,,"Gent, Belgium",,Researched,2026-02-15,,,,,"RPG studio (Baldur's Gate 3). 400+ employees. Fit: 4/5. Rep: B- — Glassdoor 4.2, no layoffs, but Dec 2025 harassment allegations"
Coffee Stain Studios,,"Skövde, Sweden",,Researched,2026-02-15,,,,,,"Game studio (Satisfactory/Goat Sim). Swedish. Fit: 3/5. Rep: B — Spun off from Embracer independently, survived layoff wave"
Gameloft,,"Paris, France",,Researched,2026-02-15,,,,,,"Mobile game publisher. 4000+ employees. Fit: 3/5. Rep: C- — Glassdoor 3.8, constant layoffs, crunch, poor job security"
Keywords Studios,,"Dublin, Ireland",,Researched,2026-02-15,,,,,,"Gaming services. 12000+ employees. 50+ studios. Fit: 3/5. Rep: C- — Glassdoor 3.5, acquired by EQT, post-acquisition layoffs, low pay"
Mindtrip,,,Europe/US,,Researched,2026-02-15,,,,,AI travel planning. Fast Company Most Innovative. Fit: 3/5
Hopin,,"London, UK",,Researched,2026-02-15,,,,,,"Virtual events platform. Rebuilt and leaner. Fit: 3/5. Rep: F — Three layoff rounds 2022, sold to Bending Spoons, effectively defunct"
Slido,,"Bratislava, Slovakia",,Researched,2026-02-15,,,,,,Audience interaction (Cisco). Near Prague. Fit: 3/5
Medevio,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,,Health digitalization. Node/TS/React stack! Prague. Fit: 4/5
Apify,https://apify.com/jobs,,"Prague, Czech Republic",,Researched,2026-02-15,,,,,"Web scraping platform. Prague! Aligns with automation expertise. Fit: 5/5. Rep: A — Glassdoor 4.8 (5.0 in Prague), 100% recommend, outstanding"
Figma,https://www.figma.com/careers,,San Francisco / London,,Researched,2026-02-15,,,,,"Design tool. London office. TS/WebGL/WASM. Fit: 4/5. Rep: B — Glassdoor 3.7, IPO at ~$57B, ~4% voluntary severance, high expectations"
Linear,https://linear.app/careers,,Remote (European founders),Remote,Researched,2026-02-15,,,,,"Project management. Remote. React/TS. Fit: 4/5. Rep: A — 100% recommend, culture 4.6, no layoffs, remote-first"
Raycast,https://www.raycast.com/careers,,"London, UK",Remote,Researched,2026-02-15,,,,,"Developer productivity launcher. React/TS. Fit: 4/5. Rep: ? — Only 1 review, ~41 employees, well-regarded but too small to rate"
Craft,,"Budapest, Hungary",,Researched,2026-02-15,,,,,,Note-taking app. Apple Design Award. Fit: 3/5
Contra,https://contra.com/careers,,Remote,Remote,Researched,2026-02-15,,,,,"Freelance platform. Doug worked with them! React/TS/Next.js. Fit: 5/5. Rep: B — Limited data (13 reviews), no layoffs, $45M funded"
Riverside.fm,,Tel Aviv + remote,Remote,Researched,2026-02-15,,,,,,Remote recording for podcasts. $47M+ raised. Fit: 3/5
Miro,https://miro.com/careers,,"Amsterdam, Netherlands",,Researched,2026-02-15,,,,,"Collaborative whiteboard. $17.5B valuation. React/TS. Fit: 4/5. Rep: C — Glassdoor 3.6, poorly-handled layoffs, fearful post-layoff culture"
Canva,,Sydney + Europe,,Researched,2026-02-15,,,,,,Design platform. $40B+ valuation. European offices. Fit: 3/5
Dream Games,,"Istanbul, Turkey",,Researched,2026-02-15,,,,,,"Mobile gaming (Royal Match). €1.16B raised. Fit: 3/5. Rep: C — Glassdoor 3.5, toxic culture, regular firings, overwork expected"
Kalamba Games,,"Krakow, Poland / Malta",,Researched,2026-02-15,,,,,,iGaming content. Fit: 2/5
CI Games (HEXWORKS),,,Remote (CET +-2),Remote,Researched,2026-02-15,,,,,"RPG studio (Lords of the Fallen). Remote CET. Fit: 3/5. Rep: D — Toxic environment, two layoff rounds in 2024 despite record revenue"
Scopely,,"Barcelona, Spain",,Researched,2026-02-15,,,,,,"Mobile games (Monopoly GO!). Barcelona. Fit: 3/5. Rep: C+ — Glassdoor 3.8, timezone issues with US HQ, stealth layoffs"
Fourthwall,,,Remote,Remote,Researched,2026-02-15,,,,,Creator commerce platform. Fit: 3/5
Leetify,https://leetify.com/careers,,"Stockholm, Sweden",Remote,Researched,2026-02-15,,,,,"AI coaching for CS2/LoL. 200k+ MAU. Antler-backed. Fit: 5/5. Rep: ? — No data, too small (19 employees)"
GGPredict,,"Warsaw, Poland",,Researched,2026-02-15,,,,,,"AI esports coaching. $1.26M raised. Polish underdog. Fit: 4/5. Rep: ? — No data, too small, early-stage"
SCOPE.GG,,Europe (distributed),,Researched,2026-02-15,,,,,,CS2 analytics. Highlights + replay analysis. Fit: 4/5
Porofessor.gg,,Europe (Overwolf ecosystem),,Researched,2026-02-15,,,,,,LoL analytics overlay. 16M+ downloads. Fit: 4/5
Kronte Gaming Analytics,,Europe,,Researched,2026-02-15,,,,,,Gaming industry analytics platform. Fit: 3/5
Improbable,https://www.improbable.io/careers,,"London, UK",,Researched,2026-02-15,,,,,"Metaverse infrastructure. $600M+ raised. Fit: 3/5. Rep: D — Glassdoor 3.3, endless layoffs, toxic culture, pivoted repeatedly"
Bitwig,https://www.bitwig.com/about,,"Berlin, Germany",Hybrid,Researched,2026-02-15,,,,,"DAW underdog. 30 person team. Berlin. Hardware too. Fit: 4/5. Rep: ? — No data, too small (~25 employees), no reported issues"
FabFilter,https://www.fabfilter.com/jobs,,"Amsterdam, Netherlands",,Researched,2026-02-15,,,,,"Engineering Emmy winning plugins. Hiring C++ + UX. Fit: 4/5. Rep: ? — No data, too small (~10-15 employees), highly respected"
Kilohearts,https://kilohearts.com/careers,,"Stockholm, Sweden",,Researched,2026-02-15,,,,,"Modular plugin ecosystem. Phase Plant. Stockholm. Fit: 4/5. Rep: ? — No data, too small (~9 employees), no reported issues"
Sonible,https://www.sonible.com/jobs,,"Graz, Austria",,Researched,2026-02-15,,,,,"AI audio plugins (smart:EQ). Austrian underdog. Fit: 4/5. Rep: ? — No data, too small, no reported issues"
u-he,https://u-he.com/about/jobs.html,,"Berlin, Germany",,Researched,2026-02-15,,,,,"Legendary synths (Diva/Zebra). 16 people. Berlin. Fit: 3/5. Rep: ? — No data, 16-person team, no reported issues"
Spitfire Audio,https://careers.spitfireaudio.com,,"London, UK",Hybrid,Researched,2026-02-15,,,,,"Sample libraries. Hiring devs. London. Made by musicians. Fit: 4/5. Rep: C — Glassdoor 4.4 but cut 25% in 2023, co-founder fallout"
Beatport / Plugin Boutique,,"Brighton/London, UK",,Researched,2026-02-15,,,,,,"Music marketplace (DJs + plugins + samples). Fit: 3/5. Rep: C — Glassdoor 3.8, tech staff treated poorly, high turnover"
Moonbase,,Europe,,Researched,2026-02-15,,,,,,E-commerce for indie audio plugins. Looking for Head of Growth! Fit: 4/5
Splice,https://splice.com/worklife,,New York + London,Remote,Researched,2026-02-15,,,,,"GitHub of music. $105M+ raised. London/remote UK. Fit: 4/5. Rep: B — Glassdoor 4.4, 87% recommend, strong culture, recovered from 2022 layoffs"
LANDR,https://www.landr.com/careers,,"Montreal, Canada",Remote,Researched,2026-02-15,,,,,"AI mastering + distribution. $30M+ raised. Fit: 3/5. Rep: C — Glassdoor 3.9, no major layoffs but excessive hierarchy"
BandLab,,Singapore (global),,Researched,2026-02-15,,,,,,"Free cloud DAW. 100M+ users. WebAudio. Fit: 3/5. Rep: C — Glassdoor 3.8, pre-holiday layoffs 2024, hire-and-fire culture shift"
GGMods,https://ggmods.com,,Unknown (distributed),Remote,Researched,2026-02-15,,,,,,"Game modding platform with salaried contracts. Launched Jan 2026. Fit: 4/5. Rep: ? — Brand new, unproven"
BattlEye,https://www.battleye.com,Software Developer,"Tübingen, Germany",Onsite,Researched,2026-02-15,,,,,,"Anti-cheat gold standard. C/C++/C#. Fit: 3/5. Rep: ? — No data, legendary industry reputation"
Facepunch Studios,https://facepunch.com/careers,Anti-Cheat Programmer,"Birmingham, UK",Remote-friendly,Researched,2026-02-15,,£60K-£98K + 50% bonus,,,"Rust/GMod studio. Hiring anti-cheat dev. Fit: 3/5. Rep: B — No layoffs, independent and profitable"
AIVA Technologies,https://www.aiva.ai/jobs,UI Developer / Researcher,"Luxembourg",Hybrid,Researched,2026-02-15,,,,,,"AI music composer. First virtual artist at SACEM. Fit: 4/5. Rep: ? — Small, NetEase + EU backed"
Moises AI,https://moises.ai/careers,Solutions Engineer,Remote (global),Remote,Researched,2026-02-15,,,,,,"AI music separation. 70M users. Apple App of Year. $50M+ raised. Fit: 4/5. Rep: B — Glassdoor positive, comp 4.4/5, flexible"
Energy Robotics,https://www.energy-robotics.com/careers,Robot Software Engineer,"Darmstadt, Germany",Hybrid,Researched,2026-02-15,,,,,,"Autonomous robots/drones. €11.5M Series A. TU Darmstadt. Fit: 3/5. Rep: ? — Recently funded, academic pedigree"
Wingcopter,https://wingcopter.com/careers,Senior Cloud Engineer,"Frankfurt area, Germany",Hybrid,Researched,2026-02-15,,,,,,"Drone delivery. €100M+ raised. Hiring 80+. Fit: 3/5. Rep: B — Glassdoor 3.8, 68% recommend, no major red flags"
Quantum Systems,https://career.quantum-systems.com,AI Software Engineer,"Munich, Germany",Hybrid,Researched,2026-02-15,,,,,,"Military drones. 700+ employees. Munich. Fit: 3/5. Rep: ? — No data, large team, defense stability"
Auterion,https://auterion.com/company/careers,Full-Stack Software Engineer,"Zurich, Switzerland",Hybrid,Researched,2026-02-15,,,,,,"Drone OS platform. TS/Vue/Node/Rust. Fit: 4/5. Rep: D — Glassdoor 2.7, toxic, 33% recommend. CAUTION"
Yanu Robotics,https://yanu.ai,,Tallinn/Tartu Estonia,,Researched,2026-02-15,,,,,,"AI robot bartender. 100 drinks/hour. Star Trek inspired. Fit: 3/5. Rep: ? — Small, university-backed, early stage"
Makr Shakr,https://www.makrshakr.com,,"Turin, Italy",,Researched,2026-02-15,,,,,,"Robot cocktail company. MIT spinout. 9 cruise ships. Fit: 2/5. Rep: ? — Small, MIT pedigree, real deployments"
Helsing,https://helsing.ai/careers,Frontend Software Engineer,"Munich, Germany + London + Paris",Hybrid,Researched,2026-02-15,,,,,,"AI defense. Autonomous drones/jets. React/TS roles. Spotify founder backed. Fit: 4/5. Rep: ? — Controversial (weapons), well-funded, growing fast"
ICEYE,https://www.iceye.com/careers,Fullstack Software Engineer,"Helsinki, Finland",Hybrid,Researched,2026-02-15,,,,,,"SAR satellite company. TS/React/Python/AWS. 111 open jobs. Fit: 5/5. Rep: B — Glassdoor 3.8, 71% recommend, talented team, some burnout"
INBRAIN Neuroelectronics,https://www.inbrain-neuroelectronics.com,,"Barcelona, Spain",,Researched,2026-02-15,,,,,,"Graphene brain-computer interfaces. Barcelona. Fit: 3/5. Rep: ? — Deep-tech, EU-funded"
Flow Neuroscience,https://www.flowneuroscience.com,,"Malmö, Sweden",,Researched,2026-02-15,,,,,,"Brain stimulation headset for depression. FDA-cleared. Fit: 3/5. Rep: ? — Medtech, FDA-validated"
Lucis,https://www.ycombinator.com/companies/lucis,Engineer,"Paris, France",,Researched,2026-02-15,,,,,,"YC biohacking startup. Blood tests to health insights. Hiring 4 roles. Fit: 3/5. Rep: ? — YC-backed, brand new (2025)"
disguise,https://www.disguise.one/en/about/join-us,Software Engineer,"London, UK",Hybrid,Researched,2026-02-15,,,,,,"Immersive visual tech. Powers Disney/Adele/Burj Khalifa. C++/Python/DirectX. Fit: 3/5. Rep: C — Mixed Glassdoor, burnout issues, some 2025 layoffs"
Resolume,https://resolume.com/blog/tag/jobs,,"The Hague, Netherlands",,Researched,2026-02-15,,,,,,"VJ live visuals software. Industry standard. ~15 people. C++. Fit: 3/5. Rep: ? — No data, legendary product reputation"
Immersive Gamebox,https://www.immersivegamebox.com/careers,,"London, UK + Germany + UAE",,Researched,2026-02-15,,,,,,"Location-based gaming. Motion tracking + projection. React/JS/Python/C#. Netflix/WB partnerships. Fit: 4/5. Rep: ? — Recently acquired, growing fast"
Sound Particles,https://soundparticles.com/careers,Researcher,"Leiria, Portugal",,Researched,2026-02-15,,,,,,"3D audio for Hollywood. Oppenheimer/Dune/Star Wars. Epic Games funded. Fit: 3/5. Rep: ? — Small team, Epic-backed, all major studios use it"
GPU Audio,https://gpu.audio/jobs,,"Switzerland (distributed)",,Researched,2026-02-15,,,,,,"GPU-powered audio processing at 1ms latency. PhD team from 12 countries. Fit: 3/5. Rep: ? — Swiss-founded deep-tech, paradigm-shifting"
Blueye Robotics,https://blueye.recruitee.com,,"Trondheim, Norway",,Researched,2026-02-15,,,,,,"Underwater drones for inspection. Netherlands Royal Navy contract. 20-30 employees. Fit: 3/5. Rep: ? — No data, Norwegian startup, real deployments"
Wandercraft,https://wandercraft.welcomekit.co,ML/Controls Engineer,"Paris, France",,Researched,2026-02-15,,,,,,"Exoskeleton robotics. Makes paralyzed people walk. $137M funded. Renault-backed. Fit: 3/5. Rep: ? — Well-funded, inspiring mission"
Oura Health,https://ouraring.com/careers,Frontend Engineer (React),"Helsinki/Oulu/Tampere, Finland",Hybrid,Researched,2026-02-15,,,,,,"Sleep/health wearable ring. Unicorn. $348M raised. Hiring React frontend. Fit: 4/5. Rep: B — Glassdoor 4.0, 73% recommend, understaffed eng teams"
Inworld AI,https://inworld.ai/careers,Senior Node.js/Frontend Engineer,Mountain View (remote options),Remote Options,Researched,2026-02-15,,,,,,"AI NPCs for games. $500M valuation. Node.js/React. Xbox/Ubisoft/Epic partnerships. Fit: 4/5. Rep: ? — Top-tier VC, US-centric"
Sensity AI,https://sensity.ai,,"Amsterdam, Netherlands",,Researched,2026-02-15,,,,,,"Deepfake detection. Amsterdam. Sequoia-backed. Fit: 3/5. Rep: ? — Small team, growing market"
Avisomo,https://avisomo.com,,"Oslo, Norway",,Researched,2026-02-15,,,,,,"Autonomous vertical farming. €5M funded (2025). Coop Norway partnership. Fit: 3/5. Rep: ? — Norwegian startup, recently funded"
Realm.fun,https://realm.fun/careers,Full-Stack Engineer,EU Remote,Remote,Researched,2026-02-15,,,,,,"Gaming. Game server hosting (Vercel for game servers). TypeScript/Astro/React/Supabase/K8s. Bootstrapped & profitable. Fit: 4/5. Rep: ? — Small team, no red flags"
MapTiler,https://www.maptiler.com/,"","Brno, Czech Republic + Zug, Switzerland",Hybrid,Researched,2026-02-15,,,,,,"Developer Tools. Map infrastructure APIs. TypeScript/JS/WebGPU. Brno office — 2hr from Prague! $5.9M revenue. Fit: 4/5. Rep: ? — Profitable, stable"
Tractive,https://tractive.com/en/hr/careers,Senior Full-Stack Developer,"Linz/Pasching, Austria",Hybrid,Researched,2026-02-15,,,,,,"Pet Tech. #1 GPS pet tracker. 4-day work week! React/Vue. $37.7M raised. 270+ team. Fit: 4/5. Rep: A — Glassdoor 4.8, best culture in EU tech"
Deezer,https://www.deezerjobs.com/en/jobs/,Software Engineer (ReactJS),"Paris, France",Hybrid,Researched,2026-02-15,,,,,,"Music Tech. Streaming platform. React. Public (Euronext). 400+ team. Fit: 4/5. Rep: B- — Glassdoor 4.0, 85% recommend, management concerns"
ElevenLabs,https://elevenlabs.io/careers,Growth Engineer — Website,"Remote (London, Warsaw hubs)",Remote,Researched,2026-02-15,,,,,,"AI/Audio. Voice/audio AI platform. TypeScript/React. Series C $180M, $6.6B valuation. Fit: 4/5. Rep: C+ — Glassdoor 3.9, polarized reviews"
Arbio,https://arbio.recruitee.com/,Fullstack Engineer,"Berlin, Germany",Hybrid,Researched,2026-02-15,,,,,,"Travel Tech. AI holiday rental management. Fullstack web. Series A EUR 31M. 10x revenue growth. Fit: 4/5. Rep: ? — Positive early signals"
Synthesia,https://www.synthesia.io/careers,,"London, UK",Hybrid,Researched,2026-02-15,,,,,,"AI/Creative Tools. AI video generation. Web platform. Series E $200M, $4B valuation. Fit: 3/5. Rep: B+ — Glassdoor 4.4, 85% recommend"
Lightdash,https://www.lightdash.com/,Full Stack Software Engineer,"Remote (Europe, GMT +/- 3)",Remote,Researched,2026-02-15,,,,,,"Developer Tools. Open-source BI (Looker alt). TypeScript/React/Node/Express. Series A $11M (YC + Accel). Fit: 3/5. Rep: ? — Small team, no issues"
